Page ID,Page Name,Disclaimer,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
218362820184560,Sabina Wittkop-Hansen,Slesvigsk Parti,Andet,https://www.facebook.com/218362820184560,Politiker,Kvinde,Side,,,
839828376192671,Christel Leiendecker,Slesvigsk Parti,Andet,https://www.facebook.com/839828376192671,Politiker,Kvinde,Side,,,
888923844596959,Kirsten H. Bachmann,These ads ran without a disclaimer,Andet,https://www.facebook.com/888923844596959,Politiker,Kvinde,Side,,,
178668495520367,Kirstine van Sabben - Politiker i den virkelige verden,Kirstine Van Sabben,Andet,https://www.facebook.com/178668495520367,Politiker,Kvinde,Side,,,
1163304100419335,Renee Funder Nationalkonservativ,These ads ran without a disclaimer,Andet,https://www.facebook.com/1163304100419335,Politiker,Kvinde,Side,,,
116726077123245,Signe Nyborg Madsen,Signe Nyborg Madsen,Andet,https://www.facebook.com/116726077123245,Politiker,Kvinde,Side,,,
117973763374350,Elsa Berg - býráðsvalevni í Tórshavnar Kommunu,Elsa Berg,Andet,https://www.facebook.com/117973763374350,Politiker,Kvinde,Side,,,
168657049964070,Karina Rohrberg Jessen,Thomsen Hans Kargaard,Andet,https://www.facebook.com/168657049964070,Politiker,Kvinde,Side,,,
178957012989198,Susanna Dyre-Greensite,Dyre-Greensite Susanna Jenny Margrethe,Andet,https://www.facebook.com/178957012989198,Politiker,Kvinde,Side,,,
1789741881317670,Louise Thomsen Terp - Byrådskandidat for SP i Tønder Kommune,Slesvigsk Parti,Andet,https://www.facebook.com/1789741881317670,Politiker,Kvinde,Side,,,
193445758264942,Hedvig Vestergaard,Vestergaard Hedvig,Andet,https://www.facebook.com/193445758264942,Politiker,Kvinde,Side,,,
276216209916283,"Betina Signe Christiansen, Politiker, De LokalNationale",These ads ran without a disclaimer,Andet,https://www.facebook.com/276216209916283,Politiker,Kvinde,Side,,,
285056042447429,Kristianna Winther Poulsen - Javnaðarflokkurin,Kristianna Winther Poulsen,Andet,https://www.facebook.com/285056042447429,Politiker,Kvinde,Side,,,
41763808759,Rina Ronja Kari,Rina Ronja Kari,Andet,https://www.facebook.com/41763808759,Politiker,Kvinde,Side,,,
711139569318459,Marita Klein Joensen - Valevni á lista C í Eysturkommunu,These ads ran without a disclaimer,Andet,https://www.facebook.com/711139569318459,Politiker,Kvinde,Side,,,
102545851683528,"Flemming Lund Blixt - Byrådskandidat, NytGribskov",Flemming Lund Blixt,Andet,https://www.facebook.com/102545851683528,Politiker,Mand,Side,,,
109333598209562,Thomas Jung - nyt gribskov,Thomas Jung,Andet,https://www.facebook.com/109333598209562,Politiker,Mand,Side,,,
