ID,Side navn,Disclaimer,Brugt i alt,Annoncer i bibliotek,Parti,Partiside eller politiker,Blok,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
2089188818032572,Ludmila Plenge Schütt,Ludmila Plenge Schütt,1518,6,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
103540631705004,Sikandar Siddique,Frie Grønne,9200,5,Frie Grønne,Politiker,Rød blok,Mand,Side,MF'ere,Partileder,FTV kandidat
103540631705004,Sikandar Siddique,These ads ran without a disclaimer,278,1,Frie Grønne,Politiker,Rød blok,Mand,Side,MF'ere,Partileder,FTV kandidat
104695404710124,Frie Grønne - Danmarks Nye Venstrefløjsparti,"Frie Grønne, Danmarks Nye Venstrefløjsparti",34136,21,Frie Grønne,Partiside,Rød blok,Partiside,Side,Nationalt parti,,
111628641645727,Daniel Tomicic - Frie Grønne,Larbi El Mekki,2062,2,Frie Grønne,Politiker,Rød blok,Mand,Side,,,FTV kandidat
332103627167661,Susanne Zimmer  MF,Zimmer Susanne,980,4,Frie Grønne,Politiker,Rød blok,Kvinde,Side,MF'ere,,FTV kandidat
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,772895,404,Konservative,Partiside,Blå blok,Partiside,Side,Nationalt parti,,
106036798614,Christian Johnson - Konservativt Byrådsmedlem i Mariagerfjord,Christian Johnson,320,2,Konservative,Politiker,Blå blok,Mand,Side,,,
149343539775,Sofia Osmani - borgmester,Johnny Winther,6160,6,Konservative,Politiker,Blå blok,Kvinde,Side,,,
100142515634314,Dan Foss Kragh Folketingskandidat,Dan Foss Kragh,5393,43,Konservative,Politiker,Blå blok,Mand,Side,,,
100147429331328,Rico Djernis,Rico Djernis,14181,35,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
100387002283487,Iben Busch - Konservative Bornholm,Iben Busch,160,2,Konservative,Politiker,Blå blok,Kvinde,Side,,,
100813922051097,Jeppe Korreborg Pedersen - Byrådsmedlem i Vesthimmerlands Kommune,Jeppe Korreborg Pedersen,1000,2,Konservative,Politiker,Blå blok,Mand,Side,,,
100830938993373,Peter Brix - Det Konservative Folkeparti,Peter Kjaen Brix,144,1,Konservative,Politiker,Blå blok,Mand,Side,,,
100886139289667,Sebastian Larvad,Sebastian Krøjgaard Larvad,2193,7,Konservative,Politiker,Blå blok,Mand,Side,,,FTV kandidat
100949595980127,Folketingskandidat Bitten Kvist Jakobsen,Bitten Kvist Jakobsen,4178,15,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
101028235491379,Malene Sandfeld KV21 Frederiksberg,Malene R Sandfeld,1082,5,Konservative,Politiker,Blå blok,Kvinde,Side,,,
101305341933604,Tina Cartey Hansen,Tina Cartey Hansen,17325,12,Konservative,Politiker,Blå blok,Kvinde,Side,,,
101577915170938,Kirsten Hassing Nielsen - Det Konservative Folkeparti,Kirsten Hassing Nielsen,1899,3,Konservative,Politiker,Blå blok,Kvinde,Side,,,FTV kandidat
101958125541525,Dorthe Schmittroth Madsen,Det Konservative Folkeparti,5688,48,Konservative,Politiker,Blå blok,Kvinde,Side,,,
102146499284904,Det Konservative Folkeparti i Sydjylland,Rasmus Brunsgaard Sømod,14861,12,Konservative,Partiside,Blå blok,Partiside,Side,,,
