Page ID,Page name,Disclaimer,Parti,Amount spent (DKK),Number of ads in Library,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat,Day,Blok
153005544821843,Mads C. Andersen,Mads Andersen,Konservative,156,1,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
162952140548832,Christoffer Buster Reinhardt,Reinhardt Christoffer Buster,Konservative,110,1,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
177609692660255,Niels Flemming Hansen,Hansen Niels Flemming Schultz,Konservative,624,1,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Blå blok
238444083333468,Rasmus Elkjær Larsen - Politiker,Rasmus Elkjær Larsen,Konservative,103,6,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
291959844520896,Marcus Knuth,Marcus Knuth,Konservative,1729,9,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Blå blok
309867232515766,Mette Abildgaard,Mette Abildgaard,Konservative,584,2,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221002,Blå blok
352886958450080,Martin Wood Pedersen - Folketingskandidat,Rikke Møller Nybråten,Konservative,270,4,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
358828094665364,Mia Tang,Mia Tang,Konservative,233,1,Politiker,Kvinde,Side,,,FTV kandidat,20221002,Blå blok
371163919965024,Andreas Karlsen,Karlsen Andreas Engelsborg,Konservative,820,12,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
397094903687472,Mai Mercado,Mai Mercado,Konservative,3244,21,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221002,Blå blok
504310436316194,Laura Lindahl,Laura Lindahl,Konservative,433,11,Politiker,Kvinde,Side,,,FTV kandidat,20221002,Blå blok
952334508116178,Søren Pape Poulsen,Søren Pape Poulsen,Konservative,1330,7,Politiker,Mand,Side,MF'ere,Partileder,FTV kandidat,20221002,Blå blok
1443657599057803,Niels Martin Viuff,Niels Martin Viuff,Konservative,378,3,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
2079067062409423,Mona Juul,Juul Mona,Konservative,1139,3,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221002,Blå blok
104665415387809,Michelle West Folketingskandidat,Michelle West,Kristendemokraterne,253,5,Politiker,Kvinde,Side,,,,20221002,Blå blok
116023864423098,Gert Dyrn KristenDemokraterne,Dyrn Gert,Kristendemokraterne,130,4,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
107893513382,Liberal Alliances Ungdom,Liberal Alliances Ungdom,Liberal Alliance,103,1,Partiside,Partiside,Side,,,,20221002,Blå blok
